u.screen_name,u.retweet_count,u.fav_count,u.followers,u.InfluenceScore,Rank,fav per retweet,retweet per follow,,dissemination rank,rank difference,% wrong,abs val,,avg error
StraightUpClevs,398,319,288,0.385471508,335,0.801507538,1.381944444,2.183451982,371,-36,-0.046213094,0.046213094,,
DavidPontious,12,26,811,0.103630385,575,2.166666667,0.014796547,2.181463214,372,203,0.260590501,0.260590501,,
MikeHersh,4743,6475,5840,5.16868551,60,1.365169724,0.812157534,2.177327258,373,-313,-0.401797176,0.401797176,,
AndreaDior,407,760,1334,0.552613897,290,1.867321867,0.305097451,2.172419319,374,-84,-0.107830552,0.107830552,,
WBCBowie,18,39,3218,0.407821591,327,2.166666667,0.005593536,2.172260203,375,-48,-0.061617458,0.061617458,,
charlesmurray,30,65,21087,2.224943557,119,2.166666667,0.001422677,2.168089344,376,-257,-0.329910141,0.329910141,,
ReubenBaysrk,28,23,21,0.029761954,728,0.821428571,1.333333333,2.154761905,377,351,0.450577664,0.450577664,,
JanetMenke,678,998,1001,0.765594529,249,1.471976401,0.677322677,2.149299079,378,-129,-0.165596919,0.165596919,,
ashergoeshard,54,108,384,0.108596912,564,2,0.140625,2.140625,379,185,0.237483954,0.237483954,,
BobbyLibby,39,79,354,0.094056791,587,2.025641026,0.110169492,2.135810517,380,207,0.265725289,0.265725289,,
daisyroisin,265,302,268,0.28414531,385,1.139622642,0.98880597,2.128428612,381,4,0.005134788,0.005134788,,
RealSteveClark,187,183,163,0.191306264,457,0.978609626,1.147239264,2.125848889,382,75,0.096277279,0.096277279,,
DCSoljaGurl,1392,1770,1647,1.516350354,157,1.271551724,0.845173042,2.116724766,383,-226,-0.290115533,0.290115533,,
Cowboysnation09,21,44,1245,0.195620561,454,2.095238095,0.01686747,2.112105565,384,70,0.089858793,0.089858793,,
daria_rylkova,47,61,58,0.055571352,675,1.29787234,0.810344828,2.108217168,385,290,0.372272144,0.372272144,,
ScorpTaurusSag,146,258,436,0.205214815,441,1.767123288,0.334862385,2.101985673,386,55,0.070603338,0.070603338,,
rockbands5151,13,27,1828,0.283028901,386,2.076923077,0.007111597,2.084034674,387,-1,-0.001283697,0.001283697,,
dcestates,1305,1708,1688,1.434125856,162,1.308812261,0.773104265,2.081916526,388,-226,-0.290115533,0.290115533,,
MrsBKidd,63,85,86,0.069565889,636,1.349206349,0.73255814,2.081764489,389,247,0.317073171,0.317073171,,
MackiedaColada,304,497,703,0.377972423,339,1.634868421,0.432432432,2.067300853,390,-51,-0.065468549,0.065468549,,
NoFuckingWayHx,1280,1638,1633,1.404855041,165,1.2796875,0.783833435,2.063520935,391,-226,-0.290115533,0.290115533,,
magenta511,1,2,16,0.004680028,776,2,0.0625,2.0625,392,384,0.492939666,0.492939666,,
FistThingsFirst,104,177,290,0.147998882,506,1.701923077,0.35862069,2.060543767,393,113,0.145057766,0.145057766,,
